elated,enjoyable,ecstatic,festive,heartening,joyous,pleasurable,cheerful,rapturous,merry,upbeat,cheery,lighthearted,jubilant,delighted,effervescent,expansive,flying,gay,glad,high,jocund,jolly,jovial,overjoyed,pleased,satisfied,sunny,transported,blithesome,gratified,enraptured,flipping,gladsome,popping
,,,,,,,,,,,,,,,,,,,,exalted,,,,,,,,,,,,,contented,
,,,,,,,,,,,,,,,,,,,,influential,,,,,,,,,,,,,gay,
,,,,,,,,,,,,,,,,,,,,powerful,,,,,,,,,,,,,glad,
,,,,,,,,,,,,,,,,,,,,prominent,,,,,,,,,,,,,good-humored,
,,,,,,,,,,,,,,,,,,,,boisterous,,,,,,,,,,,,,hearty,
,,,,,,,,,,,,,,,,,,,,cheerful,,,,,,,,,,,,,high,
,,,,,,,,,,,,,,,,,,,,elated,,,,,,,,,,,,,hilarious,
,,,,,,,,,,,,,,,,,,,,excited,,,,,,,,,,,,,hopeful,
,,,,,,,,,,,,,,,,,,,,exhilarated,,,,,,,,,,,,,jocund,
,,,,,,,,,,,,,,,,,,,,exuberant,,,,,,,,,,,,,roseate,
,,,,,,,,,,,,,,,,,,,,joyful,,,,,,,,,,,,,snappy,
,,,,,,,,,,,,,,,,,,,,lighthearted,,,,,,,,,,,,,sparkling,
,,,,,,,,,,,,,,,,,,,,merry,,,,,,,,,,,,,sprightly,
,,,,,,,,,,,,,,,,,,,,psyched,,,,,,,,,,,,,vivacious,
,,,,,,,,,,,,,,,,,,,,pumped,,,,,,,,,,,,,winsome,
,,,,,,,,,,,,,,,,,,,,bouncy,,,,,,,,,,,,,zippy,
,,,,,,,,,,,,,,,,,,,,delirious,,,,,,,,,,,,,bouncy,
,,,,,,,,,,,,,,,,,,,,inebriated,,,,,,,,,,,,,enlivening,
,,,,,,,,,,,,,,,,,,,,stoned,,,,,,,,,,,,,up,
,,,,,,,,,,,,,,,,,,,,tipsy,,,,,,,,,,,,,bucked,
,,,,,,,,,,,,,,,,,,,,doped,,,,,,,,,,,,,zappy,
,,,,,,,,,,,,,,,,,,,,potted,,,,,,,,,,,,,zingy,
,,,,,,,,,,,,,,,,,,,,euphoric,,,,,,,,,,,,,blithe,
,,,,,,,,,,,,,,,,,,,,tanked,,,,,,,,,,,,,daffy,
,,,,,,,,,,,,,,,,,,,,loud,,,,,,,,,,,,,delightful,
,,,,,,,,,,,,,,,,,,,,malodorous,,,,,,,,,,,,,frolicsome,
,,,,,,,,,,,,,,,,,,,,penetrating,,,,,,,,,,,,,gleeful,
,,,,,,,,,,,,,,,,,,,,piercing,,,,,,,,,,,,,happy,
,,,,,,,,,,,,,,,,,,,,putrid,,,,,,,,,,,,,hilarious,
,,,,,,,,,,,,,,,,,,,,rancid,,,,,,,,,,,,,jocund,
,,,,,,,,,,,,,,,,,,,,smelly,,,,,,,,,,,,,jubilant,
,,,,,,,,,,,,,,,,,,,,strident,,,,,,,,,,,,,mirthful,
,,,,,,,,,,,,,,,,,,,,reeking,,,,,,,,,,,,,sportive,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprightly,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zippy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blithesome,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bouncy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chirpy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jokey,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheerful,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheery,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delighted,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecstatic,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,effervescent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elated,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enjoyable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expansive,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,festive,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flying,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gay,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glad,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jubilant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lighthearted,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merry,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overjoyed,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pleased,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pleasurable,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rapturous,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satisfied,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transported,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,upbeat,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blithesome,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratified,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,heartening,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enraptured,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,popping,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delighted,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,effervescent,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expansive,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flying,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gay,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,glad,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jocund,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jolly,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jovial,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,overjoyed,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pleased,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,satisfied,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transported,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blithesome,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratified,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,enraptured,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flipping,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,popping,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blithe,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carefree,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheerful,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheery,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,convivial,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gleeful,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,happy,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jocund,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jolly,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jovial,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joyful,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,joyous,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lighthearted,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,merry,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mirthful,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunny,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lightsome,
